,DSFA,ht,arf
193,0.7160068846815835,0.7160068846815835,0.7831325301204819
194,0.7693631669535284,0.7693631669535284,0.7728055077452668
195,0.7142857142857143,0.7142857142857143,0.7848537005163512
196,0.7504302925989673,0.7504302925989673,0.8244406196213425
197,0.7263339070567987,0.7263339070567987,0.7624784853700516
198,0.7487091222030982,0.7487091222030982,0.7969018932874354
199,0.7349397590361446,0.7349397590361446,0.7796901893287436
200,0.76592082616179,0.76592082616179,0.8003442340791739
201,0.7762478485370051,0.7762478485370051,0.7969018932874354
202,0.7280550774526678,0.7280550774526678,0.7848537005163512
203,0.7555938037865749,0.7555938037865749,0.7882960413080895
204,0.7693631669535284,0.7693631669535284,0.7814113597246127
205,0.7504302925989673,0.7504302925989673,0.7814113597246127
206,0.7401032702237521,0.7401032702237521,0.7762478485370051
207,0.7538726333907056,0.7538726333907056,0.802065404475043
208,0.76592082616179,0.76592082616179,0.7951807228915663
209,0.7125645438898451,0.7125645438898451,0.7865748709122203
210,0.7074010327022375,0.7074010327022375,0.7762478485370051
211,0.7521514629948365,0.7521514629948365,0.8037865748709122
212,0.7487091222030982,0.7487091222030982,0.8158347676419966
213,0.7263339070567987,0.7263339070567987,0.7814113597246127
214,0.7280550774526678,0.7280550774526678,0.7814113597246127
215,0.7228915662650602,0.7228915662650602,0.802065404475043
216,0.7469879518072289,0.7469879518072289,0.7796901893287436
217,0.7022375215146299,0.7022375215146299,0.7986230636833046
218,0.76592082616179,0.76592082616179,0.8037865748709122
219,0.7452667814113597,0.7452667814113597,0.8192771084337349
220,0.7366609294320138,0.7366609294320138,0.810671256454389
221,0.7383820998278829,0.7383820998278829,0.810671256454389
222,0.7332185886402753,0.7332185886402753,0.8296041308089501
223,0.7211703958691911,0.7211703958691911,0.8158347676419966
224,0.7504302925989673,0.7504302925989673,0.7848537005163512
225,0.7487091222030982,0.7487091222030982,0.8399311531841652
226,0.7177280550774526,0.7177280550774526,0.8261617900172117
227,0.7779690189328744,0.7779690189328744,0.7917383820998278
228,0.7418244406196214,0.7418244406196214,0.8123924268502581
229,0.7056798623063684,0.7056798623063684,0.7710843373493976
230,0.7796901893287436,0.7796901893287436,0.8055077452667814
231,0.7056798623063684,0.7056798623063684,0.7814113597246127
232,0.7211703958691911,0.7211703958691911,0.7882960413080895
